Metin,Durum,metin_lower,metin_cleaned,metin_tokenized,metin_nostop,metin_lemmatized,metin_stemmed
evet anlatıldığı gibi,1,evet anlatıldığı gibi,evet anlatıldığı gibi,"['evet', 'anlatıldığı', 'gibi']","['evet', 'anlatıldığı']","['evet', 'anlatıldık']","['evet', 'anlatıldık']"
Daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,1,daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,daha öncede almıştım bu cihazdan ense ve sakal tüketmek için on numara sıfıra yakın alıyor,"['daha', 'öncede', 'almıştım', 'bu', 'cihazdan', 'ense', 've', 'sakal', 'tüketmek', 'için', 'on', 'numara', 'sıfıra', 'yakın', 'alıyor']","['öncede', 'almıştım', 'cihazdan', 'ense', 'sakal', 'tüketmek', 'on', 'numara', 'sıfıra', 'yakın', 'alıyor']","['önce', 'al', 'cihaz', 'ense', 'sakal', 'tüketmek', 'on', 'numara', 'sıfır', 'yak', 'al']","['önce', 'al', 'cihaz', 'ens', 'sakal', 'tüketmek', 'on', 'numara', 'sıfır', 'yak', 'al']"
Ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.Hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,1,ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,ürün gayet başarılı sakal kesmede başlık sayısı biraz daha fazla olabilirdi.hem 0 a yakın aliyor. hem de kirli sakal için 3 numara başlık ideal.,"['ürün', 'gayet', 'başarılı', 'sakal', 'kesmede', 'başlık', 'sayısı', 'biraz', 'daha', 'fazla', 'olabilirdihem', 'a', 'yakın', 'aliyor', 'hem', 'de', 'kirli', 'sakal', 'için', 'numara', 'başlık', 'ideal']","['ürün', 'gayet', 'başarılı', 'sakal', 'kesmede', 'başlık', 'sayısı', 'biraz', 'fazla', 'olabilirdihem', 'a', 'yakın', 'aliyor', 'kirli', 'sakal', 'numara', 'başlık', 'ideal']","['ürün', 'gayet', 'başarılı', 'sakal', 'kesme', 'başlık', 'sayı', 'biraz', 'fazla', '', 'a', 'yak', '', 'kirli', 'sakal', 'numara', 'başlık', 'ideal']","['ürün', 'gayet', 'başarılı', 'sakal', 'kesm', 'başlık', 'sayı', 'biraz', 'fazla', '', 'a', 'yak', '', 'kirli', 'sakal', 'numara', 'başlık', 'ideal']"
Daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,1,daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,daha öncede aynısını almıştım çok güzel ve kaliteli bir ürün.,"['daha', 'öncede', 'aynısını', 'almıştım', 'çok', 'güzel', 've', 'kaliteli', 'bir', 'ürün']","['öncede', 'aynısını', 'almıştım', 'güzel', 'kaliteli', 'bir', 'ürün']","['önce', 'aynısı', 'al', 'güzel', 'kaliteli', 'bir', 'ürün']","['önce', 'aynısı', 'al', 'güzel', 'kalit', 'bir', 'ürün']"
Erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,1,erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,erkek kuaförüyüm ense ve sıfır sakal traşı için uygun bir ürün,"['erkek', 'kuaförüyüm', 'ense', 've', 'sıfır', 'sakal', 'traşı', 'için', 'uygun', 'bir', 'ürün']","['erkek', 'kuaförüyüm', 'ense', 'sıfır', 'sakal', 'traşı', 'uygun', 'bir', 'ürün']","['erkek', 'kuaför', 'ense', 'sıfır', 'sakal', '', 'uygun', 'bir', 'ürün']","['erkek', 'kuaför', 'ens', 'sıfır', 'sakal', '', 'uygun', 'bir', 'ürün']"
ürün gerçekten çok güzel,1,ürün gerçekten çok güzel,ürün gerçekten çok güzel,"['ürün', 'gerçekten', 'çok', 'güzel']","['ürün', 'gerçekten', 'güzel']","['ürün', 'gerçekten', 'güzel']","['ürün', 'gerçekten', 'güzel']"
Ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,1,ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,ürün beklediğimden güzel çıktı gayet kullanışlı tarklarda bir iki numara saha olsa daha iyidi ama her şey harika,"['ürün', 'beklediğimden', 'güzel', 'çıktı', 'gayet', 'kullanışlı', 'tarklarda', 'bir', 'iki', 'numara', 'saha', 'olsa', 'daha', 'iyidi', 'ama', 'her', 'şey', 'harika']","['ürün', 'beklediğimden', 'güzel', 'çıktı', 'gayet', 'kullanışlı', 'tarklarda', 'bir', 'iki', 'numara', 'saha', 'olsa', 'iyidi', 'harika']","['ürün', 'bekledik', 'güzel', 'çıktı', 'gayet', 'kullanışlı', '', 'bir', 'iki', 'numara', 'saha', 'ol', '', 'harika']","['ürün', 'bekledik', 'güzel', 'çıktı', 'gayet', 'kullanışlı', '', 'bir', 'iki', 'numara', 'saha', 'ol', '', 'harika']"
güzel makina tavsiye ederim,1,güzel makina tavsiye ederim,güzel makina tavsiye ederim,"['güzel', 'makina', 'tavsiye', 'ederim']","['güzel', 'makina', 'tavsiye', 'ederim']","['güzel', '', 'tavsiye', 'eder']","['güzel', '', 'tavsiy', 'eder']"
tavsiye edebileceğim çok güzel bir makina,1,tavsiye edebileceğim çok güzel bir makina,tavsiye edebileceğim çok güzel bir makina,"['tavsiye', 'edebileceğim', 'çok', 'güzel', 'bir', 'makina']","['tavsiye', 'edebileceğim', 'güzel', 'bir', 'makina']","['tavsiye', 'edebil', 'güzel', 'bir', '']","['tavsiy', 'edebil', 'güzel', 'bir', '']"
"ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.",1,"ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.","ürün geldiğinde şarjı vardı. ilk lullanım öncesi 10 saat kadar şarjda kaldı. yaklaşık 30 dk kadar kesintisiz kullandım vebhala şarjı iyi seviyedeydi. 30 dk kullanım sürecinde ısınmadı. ben saç traşı oldum. herhangi bir takılma-çekme vs sorun yaşamadım (saçlarım seyrel ve ince telli. uzunluğu 3-4 mm kadardı, taraksız traş oldum) bu performansı devam ederse mükemmel bir ürün diyebilirim.","['ürün', 'geldiğinde', 'şarjı', 'vardı', 'ilk', 'lullanım', 'öncesi', 'saat', 'kadar', 'şarjda', 'kaldı', 'yaklaşık', 'dk', 'kadar', 'kesintisiz', 'kullandım', 'vebhala', 'şarjı', 'iyi', 'seviyedeydi', 'dk', 'kullanım', 'sürecinde', 'ısınmadı', 'ben', 'saç', 'traşı', 'oldum', 'herhangi', 'bir', 'takılmaçekme', 'vs', 'sorun', 'yaşamadım', 'saçlarım', 'seyrel', 've', 'ince', 'telli', 'uzunluğu', 'mm', 'kadardı', 'taraksız', 'traş', 'oldum', 'bu', 'performansı', 'devam', 'ederse', 'mükemmel', 'bir', 'ürün', 'diyebilirim']","['ürün', 'geldiğinde', 'şarjı', 'vardı', 'ilk', 'lullanım', 'öncesi', 'saat', 'kadar', 'şarjda', 'kaldı', 'yaklaşık', 'dk', 'kadar', 'kesintisiz', 'kullandım', 'vebhala', 'şarjı', 'iyi', 'seviyedeydi', 'dk', 'kullanım', 'sürecinde', 'ısınmadı', 'ben', 'saç', 'traşı', 'oldum', 'herhangi', 'bir', 'takılmaçekme', 'vs', 'sorun', 'yaşamadım', 'saçlarım', 'seyrel', 'ince', 'telli', 'uzunluğu', 'mm', 'kadardı', 'taraksız', 'traş', 'oldum', 'performansı', 'devam', 'ederse', 'mükemmel', 'bir', 'ürün', 'diyebilirim']","['ürün', 'geldiğinde', 'şarj', 'var', 'ilk', '', 'önce', 'saat', 'kadar', 'şarj', 'kal', 'yaklaşık', '', 'kadar', 'kesintisiz', 'kullan', '', 'şarj', 'iyi', 'seviye', '', 'kullanım', 'süreç', 'ısın', 'ben', 'saç', '', 'oldu', 'herhangi', 'bir', '', '', 'sorun', 'yaşa', 'saç', 'seyrel', 'ince', 'telli', 'uzunluk', '', 'kadar', 'taraksız', '', 'oldu', 'performans', 'devam', 'eder', 'mükemmel', 'bir', 'ürün', 'diyebil']","['ürün', 'geldiğind', 'şarj', 'var', 'ilk', '', 'önce', 'saat', 'kadar', 'şarj', 'kal', 'yaklaşık', '', 'kadar', 'kesintisiz', 'kullan', '', 'şarj', 'iyi', 'seviy', '', 'kullanım', 'süreç', 'ısın', 'ben', 'saç', '', 'oldu', 'herhangi', 'bir', '', '', 'sorun', 'yaşa', 'saç', 'seyrel', 'inc', 'telli', 'uzunluk', '', 'kadar', 'taraksız', '', 'oldu', 'performan', 'devam', 'eder', 'mükemmel', 'bir', 'ürün', 'diyebil']"
